 ;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1;0.05;0.02;0.01
1;0.1584;0.3249;0.5095;0.7265;1;1.3764;1.9626;3.0777;6.3137;12.706;31.821;63.656	
2;0.1421;0.2887;0.4447;0.6172;0.8165;1.0607;1.3862;1.8856;2.92;4.3027;6.9645;9.925	
3;0.1366;0.2767;0.4242;0.5844;0.7649;0.9785;1.2498;1.6377;2.3534;3.1824;4.5407;5.8408	
4;0.1338;0.2707;0.4142;0.5686;0.7407;0.941;1.1896;1.5332;2.1318;2.7765;3.7469;4.6041	
5;0.1322;0.2672;0.4082;0.5594;0.7267;0.9195;1.1558;1.4759;2.015;2.5706;3.3649;4.0321	
6;0.1311;0.2648;0.4043;0.5534;0.7176;0.9057;1.1342;1.4398;1.9432;2.4469;3.1427;3.7074	
7;0.1303;0.2632;0.4015;0.5491;0.7111;0.896;1.1192;1.4149;1.8946;2.3646;2.9979;3.4995	
8;0.1297;0.2619;0.3995;0.5459;0.7064;0.8889;1.1081;1.3968;1.8595;2.306;2.8965;3.3554	
9;0.1293;0.261;0.3979;0.5435;0.7027;0.8834;1.0997;1.383;1.8331;2.2622;2.8214;3.2498	
10;0.1289;0.2602;0.3966;0.5415;0.6998;0.8791;1.0931;1.3722;1.8125;2.2281;2.7638;3.1693	
11;0.1286;0.2596;0.3956;0.5399;0.6974;0.8755;1.0877;1.3634;1.7959;2.201;2.7181;3.1058	
12;0.1283;0.259;0.3947;0.5386;0.6955;0.8726;1.0832;1.3562;1.7823;2.1788;2.681;3.0545	
13;0.1281;0.2586;0.394;0.5375;0.6938;0.8702;1.0795;1.3502;1.7709;2.1604;2.6503;3.0123	
14;0.128;0.2582;0.3933;0.5366;0.6924;0.8681;1.0763;1.345;1.7613;2.1448;2.6245;2.9768	
15;0.1278;0.2579;0.3928;0.5357;0.6912;0.8662;1.0735;1.3406;1.7531;2.1315;2.6025;2.9467	
16;0.1277;0.2576;0.3923;0.535;0.6901;0.8647;1.0711;1.3368;1.7459;2.1199;2.5835;2.9208	
17;0.1276;0.2573;0.3919;0.5344;0.6892;0.8633;1.069;1.3334;1.7396;2.1098;2.5669;2.8982	
18;0.1274;0.2571;0.3915;0.5338;0.6884;0.862;1.0672;1.3304;1.7341;2.1009;2.5524;2.8784	
19;0.1274;0.2569;0.3912;0.5333;0.6876;0.861;1.0655;1.3277;1.7291;2.093;2.5395;2.8609	
20;0.1273;0.2567;0.3909;0.5329;0.687;0.86;1.064;1.3253;1.7247;2.086;2.528;2.8453	
21;0.1272;0.2566;0.3906;0.5325;0.6864;0.8591;1.0627;1.3232;1.7207;2.0796;2.5176;2.8314	
22;0.1271;0.2564;0.3904;0.5321;0.6858;0.8583;1.0614;1.3212;1.7171;2.0739;2.5083;2.8188	
23;0.1271;0.2563;0.3902;0.5317;0.6853;0.8575;1.0603;1.3195;1.7139;2.0687;2.4999;2.8073	
24;0.127;0.2562;0.39;0.5314;0.6848;0.8569;1.0593;1.3178;1.7109;2.0639;2.4922;2.797	
25;0.1269;0.2561;0.3898;0.5312;0.6844;0.8562;1.0584;1.3163;1.7081;2.0595;2.4851	2.7874	
26;0.1269;0.256;0.3896;0.5309;0.684;0.8557;1.0575;1.315;1.7056;2.0555;2.4786;2.7787	
27;0.1268;0.2559;0.3894;0.5306;0.6837;0.8551;1.0567;1.3137;1.7033;2.0518;2.4727;2.7707	
28;0.1268;0.2558;0.3893;0.5304;0.6834;0.8546;1.056;1.3125;1.7011;2.0484;2.4671;2.7633	
29;0.1268;0.2557;0.3892;0.5302;0.683;0.8542;1.0553;1.3114;1.6991;2.0452;2.462;2.7564	
30;0.1267;0.2556;0.389;0.53;0.6828;0.8538;1.0547;1.3104;1.6973;2.0423;2.4573;2.75	
